interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
5450,5.026959,11.33502,18.35233,25.49978
5460,5.031725,11.33713,18.35364,25.50072
5470,5.036496,11.33924,18.35495,25.50166
5480,5.04127,11.34136,18.35625,25.5026
5490,5.046049,11.34349,18.35757,25.50355
5500,5.050832,11.34561,18.35888,25.50449
5510,5.055619,11.34774,18.3602,25.50544
5520,5.06041,11.34988,18.36152,25.50639
5530,5.065206,11.35202,18.36283,25.50734
5540,5.070005,11.35416,18.36416,25.50829
5550,5.074809,11.3563,18.36548,25.50925
5560,5.079618,11.35845,18.36681,25.5102
5570,5.084429,11.3606,18.36814,25.51116
5580,5.089244,11.36275,18.36947,25.51212
5590,5.094065,11.36491,18.37081,25.51308
5600,5.098888,11.36707,18.37215,25.51404
5610,5.103717,11.36924,18.37349,25.51501
5620,5.108549,11.3714,18.37483,25.51597
5630,5.113385,11.37358,18.37617,25.51694
5640,5.118225,11.37575,18.37751,25.51791
5650,5.123069,11.37793,18.37886,25.51888
5660,5.127917,11.38011,18.38022,25.51985
5670,5.132769,11.3823,18.38157,25.52083
5680,5.137625,11.38449,18.38292,25.5218
5690,5.142486,11.38668,18.38428,25.52278
5700,5.147349,11.38888,18.38564,25.52376
5710,5.152217,11.39107,18.387,25.52474
5720,5.157089,11.39328,18.38837,25.52573
5730,5.161965,11.39548,18.38973,25.52671
5740,5.166844,11.39769,18.3911,25.52769
5750,5.171727,11.39991,18.39248,25.52868
5760,5.176615,11.40212,18.39385,25.52967
5770,5.181506,11.40434,18.39522,25.53066
5780,5.186401,11.40656,18.3966,25.53166
5790,5.1913,11.40879,18.39798,25.53265
5800,5.196203,11.41102,18.39936,25.53365
5810,5.20111,11.41325,18.40075,25.53465
5820,5.20602,11.41549,18.40214,25.53564
5830,5.210935,11.41773,18.40353,25.53665
5840,5.215852,11.41997,18.40492,25.53765
5850,5.220774,11.42222,18.40631,25.53865
5860,5.225699,11.42447,18.40771,25.53966
5870,5.230628,11.42673,18.40911,25.54066
5880,5.235561,11.42898,18.41051,25.54168
5890,5.240499,11.43124,18.41191,25.54269
5900,5.245438,11.43351,18.41332,25.5437
5910,5.250383,11.43577,18.41472,25.54472
5920,5.255331,11.43805,18.41614,25.54573
5930,5.260283,11.44032,18.41755,25.54675
5940,5.265237,11.4426,18.41896,25.54777
5950,5.270197,11.44488,18.42038,25.54879
5960,5.275159,11.44716,18.4218,25.54981
5970,5.280126,11.44945,18.42322,25.55084
5980,5.285095,11.45174,18.42464,25.55187
5990,5.290069,11.45403,18.42607,25.55289
6000,5.295045,11.45633,18.4275,25.55392
6010,5.300026,11.45864,18.42893,25.55495
6020,5.305011,11.46094,18.43036,25.55599
6030,5.309999,11.46325,18.4318,25.55702
6040,5.314991,11.46556,18.43323,25.55806
6050,5.319986,11.46787,18.43467,25.5591
6060,5.324984,11.47019,18.43611,25.56014
